# x1, y1, x2, y2
0.28486,0.10000,0.30163,0.08146
-0.35231,0.01668,-0.36669,-0.00378
-0.37047,0.23125,-0.35400,0.25006
0.28486,0.10000,0.29670,0.07798
-0.04814,-0.30830,-0.02493,-0.29900
-0.41218,-0.21783,-0.40658,-0.19346
0.04576,0.19845,0.02128,0.20351
0.21244,-0.22130,0.19777,-0.20105
0.18426,-0.07323,0.17315,-0.09563
-0.40658,-0.19346,-0.42796,-0.20643
0.43007,0.03564,0.45222,0.04725
0.32695,-0.41446,0.32898,-0.43938
0.21813,-0.42702,0.19952,-0.44372
0.28002,-0.40331,0.29988,-0.41849
-0.30895,0.31688,-0.30055,0.34043
0.37781,-0.08476,0.36077,-0.06647
-0.22742,0.16893,-0.25033,0.15893
0.00155,0.36316,-0.00177,0.38794
0.32695,-0.41446,0.31805,-0.43783
-0.00177,0.38794,-0.02676,0.38860
0.05610,-0.10326,0.03110,-0.10353
0.33905,0.39953,0.32485,0.42011
0.05610,-0.10326,0.06296,-0.12730
0.33905,0.39953,0.35947,0.41395
0.35947,0.41395,0.33744,0.40213
-0.19344,-0.04529,-0.16855,-0.04299
-0.15985,-0.04380,-0.14114,-0.02721
0.35947,0.41395,0.38265,0.42332
0.00388,-0.42618,-0.00616,-0.44907
-0.15834,-0.22710,-0.18313,-0.23033
0.41023,-0.41804,0.39511,-0.43795
-0.43031,-0.32849,-0.40637,-0.32127
0.11854,-0.38260,0.14092,-0.37147
0.01808,-0.37992,0.00724,-0.40245
0.38265,0.42332,0.35787,0.42002
0.31805,-0.43783,0.33878,-0.42385
-0.44801,-0.00893,-0.42362,-0.00342
0.02128,0.20351,0.00077,0.21781
-0.22963,-0.41309,-0.21037,-0.39715
-0.31828,0.20262,-0.31279,0.22701
-0.31213,0.38058,-0.31632,0.35593
0.25759,0.40080,0.23596,0.41333
-0.33023,0.42032,-0.31324,0.40197
-0.37979,-0.46851,-0.35479,-0.46851
0.38265,0.42332,0.35955,0.41376
0.11706,-0.01111,0.12327,0.01311
-0.09895,0.13967,-0.10889,0.16261
0.20346,0.17280,0.17945,0.16584
-0.36951,-0.38703,-0.37787,-0.36347
0.25599,-0.41021,0.23782,-0.42739
0.38265,0.42332,0.36601,0.44197
0.38265,0.42332,0.36267,0.40829
